2015-04-22 15:59:30 uri:/userAction_loginUI.action; code:404; msg:Unable to find a route to match the URI: userAction_loginUI.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: userAction_loginUI.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-22 15:59:30 uri:/unAuthorizedAccess.action; code:404; msg:Unable to find a route to match the URI: unAuthorizedAccess.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: unAuthorizedAccess.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-22 19:11:10 uri:/jmx-console/; code:404; msg:The requested URL jmx-console was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL jmx-console was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:http://121.40.211.61/
2015-04-22 19:11:12 uri:/web-console/; code:404; msg:The requested URL web-console was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL web-console was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:http://121.40.211.61/
2015-04-22 19:11:14 uri:/invoker/JMXInvokerServlet; code:404; msg:The requested URL invoker/JMXInvokerServlet was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL invoker/JMXInvokerServlet was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:http://121.40.211.61/
2015-04-22 19:11:16 uri:/invoker/EJBInvokerServlet; code:404; msg:The requested URL invoker/EJBInvokerServlet was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL invoker/EJBInvokerServlet was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:http://121.40.211.61/
2015-04-22 19:11:18 uri:/status/; code:404; msg:The requested URL status was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL status was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:http://121.40.211.61/
2015-04-22 19:11:20 uri:/server-status/; code:404; msg:The requested URL server-status was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL server-status was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:http://121.40.211.61/
2015-04-22 19:11:27 uri:/manager/html; code:404; msg:The requested URL manager/html was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL manager/html was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:http://121.40.211.61/
2015-04-22 19:17:53 uri:/index.html; code:404; msg:Unable to find a route to match the URI: index.html-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: index.html ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-22 20:19:10 uri:/detail/1ki; code:404; msg:The requested URL detail/1ki was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL detail/1ki was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:
2015-04-22 23:26:08 uri:/webscan38502863.txt; code:404; msg:Unable to find a route to match the URI: webscan38502863.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: webscan38502863.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:http://121.40.211.61/
2015-04-22 23:26:09 uri:/webscan38502863.txt; code:404; msg:Unable to find a route to match the URI: webscan38502863.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: webscan38502863.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:http://121.40.211.61/
